         75233 function calls (73726 primitive calls) in 17.930 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      180    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      4/1    0.000    0.000    0.000    0.000 pathlib.py:474(__init__)
       26    0.000    0.000    0.000    0.000 _base.py:17(_add_attr)
       22    0.000    0.000    0.000    0.000 pathlib.py:145(splitroot)
        1    0.000    0.000    0.012    0.012 ba.py:15(<module>)
        8    0.000    0.000    0.001    0.000 popen_spawn_win32.py:116(terminate)
       80    0.000    0.000    0.000    0.000 context.py:346(get_spawning_popen)
       16    0.000    0.000    0.000    0.000 queues.py:342(__getstate__)
        1    0.000    0.000    0.000    0.000 charts.py:264(_boxPlot)
        9    0.000    0.000    0.000    0.000 pathlib.py:649(_parse_args)
        1    0.000    0.000    0.033    0.033 ga.py:15(<module>)
      118    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       11    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        8    0.000    0.000    0.000    0.000 arcobjectconversion.py:65(convertArcObjectToPythonObject)
        1    0.000    0.000    0.000    0.000 nd.py:15(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.000    0.000 _mp.py:2692(Table)
      150    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
      4/1    0.000    0.000    0.000    0.000 pathlib.py:453(_make_selector)
       33    0.000    0.000    0.000    0.000 connection.py:134(_check_closed)
        1    0.000    0.000    0.000    0.000 stats.py:15(<module>)
        1    0.000    0.000    0.001    0.001 Raster.py:14(<module>)
        1    0.000    0.000    0.000    0.000 topographic.py:15(<module>)
        8    0.000    0.000    0.000    0.000 ntpath.py:67(isabs)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 ntpath.py:287(expanduser)
        8    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
       24    0.000    0.000    0.000    0.000 spawn.py:87(<genexpr>)
       55    0.000    0.000    0.000    0.000 inspect.py:504(_is_wrapper)
      472    0.000    0.000    0.000    0.000 inspect.py:2521(default)
        1    0.000    0.000   17.919   17.919 py3compat.py:164(execfile)
       11    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       31    0.000    0.000    0.000    0.000 enum.py:64(__init__)
       16    0.000    0.000    0.000    0.000 popen_spawn_win32.py:93(duplicate_for_child)
        1    0.000    0.000    0.000    0.000 conversion.py:15(<module>)
       11    0.000    0.000    0.000    0.000 enum.py:841(__and__)
        1    0.000    0.000    0.002    0.002 utils.py:15(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.pointer}
        1    0.000    0.000    0.000    0.000 enum.py:877(_decompose)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        8    0.000    0.000    0.000    0.000 pool.py:152(Process)
        4    0.000    0.000    0.000    0.000 ntpath.py:75(join)
       12    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
       55    0.000    0.000    0.002    0.000 inspect.py:3081(signature)
        1    0.000    0.000    0.000    0.000 raster_functions.py:15(<module>)
        2    0.000    0.000    0.000    0.000 tempfile.py:233(_get_candidate_names)
        8    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
      111    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
        8    0.000    0.000    0.001    0.000 {built-in method builtins.print}
      2/1    0.000    0.000    0.000    0.000 pathlib.py:519(__init__)
      323    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.001    0.001 time.py:15(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method adderror}
       26    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
     16/9    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 {built-in method arcgisscripting._listDateTimeStringFormats}
        8    0.000    0.000    0.000    0.000 {built-in method _winapi.GetExitCodeProcess}
       56    0.000    0.000    0.000    0.000 functools.py:67(wraps)
       32    0.000    0.000    0.000    0.000 random.py:224(_randbelow)
    66/28    0.000    0.000    0.000    0.000 _base.py:520(fixcol)
        1    0.000    0.000    0.000    0.000 popen_spawn_win32.py:1(<module>)
        1    0.000    0.000    0.000    0.000 locale.py:605(setlocale)
       16    0.000    0.000    0.000    0.000 context.py:349(set_spawning_popen)
        3    0.000    0.000    0.015    0.005 threading.py:834(start)
